-,-,-
-210, 74, 1110
-309, 20, 1123
-316, -44, 977
-380, -28, 962
-335, 47, 1161
-348, 19, 1148
-445, -80, 1064
-516, -124, 1038
-462, -114, 1074
-421, -98, 1067
-348, -42, 1057
-348, -42, 1057
-233, 41, 1033
-170, 17, 976
-141, -13, 967
-88, 0, 953
52, 104, 977
52, 104, 977
127, 115, 978
180, 103, 1003
259, 68, 916
372, 107, 947
372, 107, 947
412, 160, 1027
409, 131, 1083
452, 93, 1043
568, 84, 1029
750, 109, 1016
766, 168, 1056
-,-,-
-168, -3, 1083
-281, -104, 1005
-372, -152, 1023
-398, -80, 1037
-398, -80, 1037
-368, -41, 1042
-370, -77, 1009
-399, -124, 1002
-405, -126, 1021
-381, -126, 984
-331, -82, 1008
-272, -37, 1047
-179, 7, 1029
-172, -6, 1080
-173, -26, 1057
-147, -16, 1081
-57, 28, 1109
-57, 28, 1109
69, 63, 1096
174, 77, 1065
181, 70, 1084
200, 58, 1119
200, 58, 1119
259, 25, 1060
438, 66, 1034
554, 138, 999
535, 131, 1004
456, 11, 1018
456, 11, 1018
448, -82, 1009
518, -62, 928
598, -38, 903
611, -41, 916
607, -56, 946
607, -56, 946
644, -144, 911
763, -59, 832
776, 4, 926
-,-,-
-129, 2, 976
-224, -22, 1007
-406, -112, 1079
-514, -147, 1181
-514, -147, 1181
-513, -107, 1166
-462, -71, 1092
-411, -73, 1045
-374, -52, 968
-317, 0, 961
-292, 0, 1020
-266, -29, 971
-249, -32, 925
-244, 0, 1003
-244, 0, 1003
-170, 53, 1117
-80, 74, 1076
-16, 71, 955
5, 43, 890
5, 43, 890
5, -14, 909
113, 28, 1031
113, 28, 1031
282, 110, 989
457, 221, 1065
472, 214, 1100
366, 71, 1020
320, 4, 1072
-,-,-
-178, -1, 998
-197, -33, 956
-221, 27, 1005
-274, 9, 1104
-346, -74, 1092
-390, -104, 986
-442, -104, 1009
-442, -106, 1009
-478, -109, 1012
-453, -62, 969
-373, -8, 975
-362, -31, 961
-334, -28, 972
-369, -83, 998
-354, -63, 1062
-306, -16, 1119
-221, 31, 1115
-121, 62, 1081
-121, 62, 1081
-80, 40, 1053
-48, 28, 1067
53, 76, 1048
188, 102, 983
188, 102, 983
287, 129, 1041
349, 162, 1126
359, 109, 974
356, 38, 1033
372, -17, 1013
493, 52, 785
493, 52, 785
421, -12, 775
111, -324, 1127
-44, -398, 1009
-101, -408, 954
48, -207, 980
198, -27, 1143
198, -27, 1143
232, 32, 1165
293, -15, 1075
271, -67, 1003
349, -7, 990
414, 5, 1226
-,-,-
11, -130, 1069
67, -129, 1028
67, -129, 1028
68, -155, 1069
125, -194, 880
-3, -294, 596
-131, -316, 976
-188, -324, 1065
53, -102, 972
54, -133, 986
54, -133, 986
-4, -184, 974
-58, -237, 1014
-4, -176, 965
42, -110, 1008
77, -90, 1056
77, -90, 1056
126, -48, 1059
92, -55, 1036
35, -90, 1015
27, -123, 1077
-,-,-
-223, 211, 1267
-324, 130, 1163
-392, 24, 1011
-330, 57, 993
-285, 89, 1035
-343, 60, 1077
-405, 20, 1064
-435, -24, 1033
-435, -24, 1033
-450, -60, 999
-457, -73, 1021
-449, -65, 1070
-432, -75, 1132
-367, -70, 1116
-284, -65, 1061
-201, -46, 1044
-114, -25, 1012
-34, 30, 1057
15, 27, 1100
15, 27, 1100
162, 22, 1067
298, 74, 1023
397, 124, 995
498, 124, 1005
498, 124, 1005
619, 149, 1127
693, 96, 1043
736, 84, 906
706, 63, 876
652, -26, 983
-,-,-
-458, 113, 1014
-403, 104, 969
-404, 48, 1097
-404, 48, 1097
-401, 10, 1116
-395, -36, 1024
-376, -47, 916
-352, -8, 983
-323, 31, 1047
-302, 8, 1027
-282, -17, 990
-282, -17, 990
-273, -23, 1017
-292, -23, 1147
-287, -77, 1123
-165, -23, 1127
-41, 34, 1071
-41, 32, 1040
-46, 3, 1130
-46, 3, 1130
-28, -25, 1143
25, -28, 1091
118, 9, 1025
149, 21, 1013
149, 21, 1013
162, 17, 1041
209, 8, 1059
338, 68, 1011
469, 135, 1072
480, 93, 1007
480, 93, 1007
479, 82, 1001
456, 63, 1041
