-,-,-
58, 68, 1165
93, 40, 990
177, 2, 816
206, 30, 973
206, 30, 973
193, 2, 970
161, -34, 961
217, -13, 934
217, -13, 934
323, 26, 927
381, 46, 969
372, 32, 1013
350, 4, 1005
350, 4, 1005
370, 25, 1024
423, 60, 1026
480, 110, 1020
446, 137, 1004
327, 131, 1052
327, 131, 1052
254, 105, 1062
256, 124, 994
172, 139, 1010
29, 118, 1134
-51, 65, 1147
-9, 36, 945
-9, 36, 945
81, 113, 896
-25, 137, 1080
-224, 73, 1162
-224, 73, 1162
-,-,-
156, 92, 1027
134, 25, 1023
89, -81, 938
89, -81, 938
202, -25, 948
312, 44, 1049
323, 43, 1052
308, -6, 988
308, -6, 988
309, -36, 978
308, -55, 1008
357, -48, 1037
453, 27, 1057
428, 35, 1086
428, 35, 1086
402, 24, 1035
439, 19, 928
406, 15, 948
344, 44, 1031
344, 44, 1031
278, 24, 1049
286, 11, 950
290, 26, 906
208, 29, 963
208, 29, 963
129, 11, 951
91, -11, 862
39, 7, 942
39, 7, 942
-21, 89, 1047
-56, 117, 1069
-126, 58, 964
-126, 58, 917
-181, 39, 917
-238, 79, 995
-315, 159, 1174
-352, 174, 1211
-374, 78, 1063
-403, 30, 978
-423, 88, 1043
-423, 88, 1043
-,-,-
192, 51, 926
151, -45, 915
199, -22, 966
231, -3, 1024
231, -3, 1024
312, -1, 966
411, 11, 935
441, -6, 1033
481, 12, 1092
481, 12, 1092
560, 21, 1042
626, 13, 914
671, 21, 872
663, 69, 928
663, 69, 928
596, 95, 1013
510, 66, 964
406, 25, 912
349, 29, 900
349, 29, 900
310, 25, 910
258, 6, 920
210, 68, 963
210, 68, 963
150, 130, 1084
74, 123, 1128
47, 97, 1025
47, 105, 930
47, 105, 930
-11, 122, 1055
-145, 151, 1208
-159, 138, 1169
-140, 106, 1008
-157, 82, 926
-213, 116, 940
-213, 116, 940
-292, 128, 1043
-291, 116, 1094
-255, 117, 979
-297, 133, 953
